Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
S12975.Y1.E1.L1.1240k_plus.hg19.v1	19177736.0	0.0	19177736.0	1.0	19177736.0	0.0	19177736.0	0.0	0.0	0.0	0.0	1538908.0	3422309.0	0.0	0.0	0.0	1096607098.0	1096607098.0	0.0	1096607098.0	1096606825.0	0.0	95488794.0	7449658.0	0.006793372	57.0	57.0	0.0	123.0	123.0	0.0	35.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	8.024450852801394	17.845219060268636	0.0
S12976.Y1.E1.L1.1240k_plus.hg19.v1	19061552.0	0.0	19061552.0	1.0	19061552.0	0.0	19061552.0	0.0	0.0	0.0	0.0	819492.0	3302008.0	0.0	0.0	0.0	1119563282.0	1119563282.0	0.0	1119563282.0	1119562870.0	0.0	51367504.0	7467067.0	0.006669627	58.0	59.0	0.0	123.0	123.0	0.0	35.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	4.29918822979367	17.32287066656482	0.0
S12977.Y1.E1.L1.1240k_plus.hg19.v1	18699872.0	0.0	18699872.0	1.0	18699872.0	0.0	18699872.0	0.0	0.0	0.0	0.0	1044401.0	3002049.0	0.0	0.0	0.0	1113541126.0	1113541126.0	0.0	1113541126.0	1113540834.0	0.0	67421480.0	7087081.0	0.006364455	59.0	60.0	0.0	123.0	123.0	0.0	35.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	5.585070314919802	16.053847855215267	0.0
S12978.Y1.E1.L1.1240k_plus.hg19.v1	18690406.0	0.0	18690406.0	1.0	18690406.0	0.0	18690406.0	0.0	0.0	0.0	0.0	3365001.0	4532313.0	0.0	0.0	0.0	983903292.0	983903292.0	0.0	983903292.0	983902982.0	0.0	195078437.0	7515820.0	0.007638782	52.0	53.0	0.0	123.0	123.0	0.0	35.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	18.00389461844756	24.249409028353906	0.0
S13173.Y1.E1.L1.1240k_plus.hg19.v1	20537310.0	0.0	20537310.0	1.0	20537310.0	0.0	20537310.0	0.0	0.0	0.0	0.0	2706558.0	3804378.0	0.0	0.0	0.0	1149155780.0	1149155780.0	0.0	1149155780.0	1149155481.0	0.0	163117769.0	8090205.0	0.007040131	55.0	56.0	0.0	123.0	123.0	0.0	35.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	13.178736650515575	18.52422736960196	0.0
S13175.Y1.E1.L1.1240k_plus.hg19.v1	21211433.0	0.0	21211433.0	1.0	21211433.0	0.0	21211433.0	0.0	0.0	0.0	0.0	1130898.0	3393045.0	0.0	0.0	0.0	1270165340.0	1270165340.0	0.0	1270165340.0	1270164834.0	0.0	71345877.0	8415915.0	0.006625845	59.0	60.0	0.0	123.0	123.0	0.0	35.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	5.331549264021907	15.996302560039203	0.0
S13179.Y1.E1.L1.1240k_plus.hg19.v1	15715603.0	0.0	15715603.0	1.0	15715603.0	0.0	15715603.0	0.0	0.0	0.0	0.0	5356388.0	2621572.0	0.0	0.0	0.0	901491114.0	901491114.0	0.0	901491114.0	901490930.0	0.0	324103522.0	5829771.0	0.006466811	57.0	57.0	0.0	123.0	123.0	0.0	35.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	34.08324834879069	16.681332558477074	0.0
S13180.Y1.E1.L1.1240k_plus.hg19.v1	20689258.0	0.0	20689258.0	1.0	20689258.0	0.0	20689258.0	0.0	0.0	0.0	0.0	3655590.0	3874598.0	0.0	0.0	0.0	1141017125.0	1141017125.0	0.0	1141017125.0	1141016869.0	0.0	215886221.0	8050731.0	0.007055752	55.0	55.0	0.0	123.0	123.0	0.0	35.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	17.669024186367633	18.727583173838326	0.0
S13504.Y1.E1.L1.1240k_plus.hg19.v1	11306637.0	0.0	11306637.0	1.0	11306637.0	0.0	11306637.0	0.0	0.0	0.0	0.0	2428098.0	1647906.0	0.0	0.0	0.0	721316311.0	721316311.0	0.0	721316311.0	721316033.0	0.0	163207335.0	4602438.0	0.006380612	63.0	64.0	0.0	123.0	123.0	0.0	35.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	21.474979695554037	14.574678571532809	0.0
S13505.Y1.E1.L1.1240k_plus.hg19.v1	16755602.0	0.0	16755602.0	1.0	16755602.0	0.0	16755602.0	0.0	0.0	0.0	0.0	1563967.0	2887153.0	0.0	0.0	0.0	961320453.0	961320453.0	0.0	961320453.0	961320100.0	0.0	96929638.0	6431524.0	0.006690304	57.0	57.0	0.0	123.0	123.0	0.0	35.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	9.333994684285292	17.23097146852736	0.0
S13766.Y1.E1.L1.1240k_plus.hg19.v1	17772900.0	0.0	17772900.0	1.0	17772900.0	0.0	17772900.0	0.0	0.0	0.0	0.0	1747812.0	3676065.0	0.0	0.0	0.0	991497887.0	991497887.0	0.0	991497887.0	991497664.0	0.0	106303371.0	6880889.0	0.006939895	55.0	56.0	0.0	123.0	123.0	0.0	35.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	9.834140742366186	20.683540671471732	0.0
S13767.Y1.E1.L1.1240k_plus.hg19.v1	17702145.0	0.0	17702145.0	1.0	17702145.0	0.0	17702145.0	0.0	0.0	0.0	0.0	1740937.0	3414067.0	0.0	0.0	0.0	1012643743.0	1012643743.0	0.0	1012643743.0	1012643499.0	0.0	107621139.0	6928949.0	0.006842437	57.0	57.0	0.0	123.0	123.0	0.0	35.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	9.834610438452515	19.286176901160847	0.0
S13957.Y1.E2.L1.1240k_plus.hg19.v1	13966816.0	0.0	13966816.0	1.0	13966816.0	0.0	13966816.0	0.0	0.0	0.0	0.0	0.0	2523199.0	0.0	0.0	0.0	815390089.0	815390089.0	0.0	815390089.0	815389855.0	0.0	0.0	4611287.0	0.005655316	58.0	58.0	0.0	123.0	123.0	0.0	35.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	18.065670801419593	0.0
S13963.Y1.E2.L1.1240k_plus.hg19.v1	13050146.0	0.0	13050146.0	1.0	13050146.0	0.0	13050146.0	0.0	0.0	0.0	0.0	0.0	2984421.0	0.0	0.0	0.0	712948482.0	712948482.0	0.0	712948482.0	712948336.0	0.0	0.0	4552419.0	0.006385342	54.0	55.0	0.0	123.0	123.0	0.0	35.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	22.868870585815667	0.0
S13964.Y1.E2.L1.1240k_plus.hg19.v1	10505847.0	0.0	10505847.0	1.0	10505847.0	0.0	10505847.0	0.0	0.0	0.0	0.0	0.0	3082825.0	0.0	0.0	0.0	546702952.0	546702952.0	0.0	546702952.0	546702894.0	0.0	0.0	3348483.0	0.006124868	52.0	52.0	0.0	123.0	123.0	0.0	35.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	29.34389773618443	0.0
S13965.Y1.E2.L1.1240k_plus.hg19.v1	14708760.0	0.0	14708760.0	1.0	14708760.0	0.0	14708760.0	0.0	0.0	0.0	0.0	0.0	3394254.0	0.0	0.0	0.0	797666331.0	797666331.0	0.0	797666331.0	797666059.0	0.0	0.0	5303388.0	0.006648632	54.0	54.0	0.0	123.0	123.0	0.0	35.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	23.07641160777659	0.0
S14000.Y1.E1.L1.1240k_plus.hg19.v1	20034798.0	0.0	20034798.0	1.0	20034798.0	0.0	20034798.0	0.0	0.0	0.0	0.0	0.0	4021415.0	0.0	0.0	0.0	1185917032.0	1185917032.0	0.0	1185917032.0	1185916431.0	0.0	0.0	8262334.0	0.006967046	59.0	59.0	0.0	123.0	123.0	0.0	35.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	20.072151463668362	0.0
S14037.Y1.E1.L1.1240k_plus.hg19.v1	23526779.0	0.0	23526779.0	1.0	23526779.0	0.0	23526779.0	0.0	0.0	0.0	0.0	0.0	4751673.0	0.0	0.0	0.0	1338122927.0	1338122927.0	0.0	1338122927.0	1338122084.0	0.0	0.0	9533467.0	0.007124512	56.0	57.0	0.0	123.0	123.0	0.0	35.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	20.19687012829083	0.0
S14194.Y1.E1.L1.1240k_plus.hg19.v1	15824786.0	0.0	15824786.0	1.0	15824786.0	0.0	15824786.0	0.0	0.0	0.0	0.0	0.0	2982319.0	0.0	0.0	0.0	911029531.0	911029531.0	0.0	911029531.0	911029304.0	0.0	0.0	5955146.0	0.006536723	57.0	58.0	0.0	123.0	123.0	0.0	35.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	18.84587254450076	0.0
